observation_date,FDEFX
1997-01-01,1487.961
1998-01-01,1475.011
1999-01-01,1533.016
2000-01-01,1570.279
2001-01-01,1652.647
2002-01-01,1835.730
2003-01-01,2084.883
2004-01-01,2279.512
2005-01-01,2437.749
2006-01-01,2563.258
2007-01-01,2717.055
2008-01-01,3001.342
2009-01-01,3150.260
2010-01-01,3311.883
2011-01-01,3335.911
2012-01-01,3256.701
2013-01-01,3057.277
2014-01-01,2976.214
2015-01-01,2921.487
2016-01-01,2917.737
2017-01-01,2993.173
2018-01-01,3180.260
2019-01-01,3398.025
2020-01-01,3539.818
2021-01-01,3634.682
2022-01-01,3720.086
2023-01-01,4008.376
